ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Family
Achagua,achagua,acha1250,,aca,,
Awa,awa,awac1239,,kwi,,
Baniva,baniva,bani1254,,bvv,,
Barasana,barasana,bara1380,,bsn,,
Bara,bará,waim1255,,bao,,
Bari,barí,bari1297,,mot,,
Bora,bora,bora1263,,boa,,
Cabiyari,cabiyarí,cabi1241,,cbb,,
Carapana,carapana,cara1272,,cbc,,
Carijona,carijona,cari1279,,cbd,,
Catio,catío,embe1260,,cto,,
Chapalaachi,cha'palaachi,chac1249,,cbi,,
Chimila,chimila,chim1309,,cbg,,
Cubeo,cubeo,cube1242,,cub,,
Cuiba,cuiba,cuib1242,,cui,,
Curripaco,curripaco,curr1243,,kpc,,
Desano,desano,desa1247,,des,,
Dimina,dí̵mi̵na,mala1522,,mbp,,
EmberaDarien,embera Darién,nort2972,,emp,,
EmberaTado,embera Tadó,embe1261,,tdc,,
EmberaChami,embera chamí,embe1262,,cmi,,
EpenaSaija,epena Saija,epen1239,,sja,,
EpenaBasurudo,epena basurudó,epen1239,,sja,,
Giacone,giacone,tari1256,,tae,,
Guahibo,guahibo,guah1255,,guh,,
Guambiano,guambiano,guam1248,,gum,,
Guayabero,guayabero,guay1257,,guo,,
Ika,ika,arhu1242,,arh,,
Inga,inga,inga1252,,inb,,
Jitnu,jitnu,maca1259,,mbn,,
Jupda,jupda,hupd1244,,jup,,
Kakua,kakua,cacu1241,,cbv,,
Kamsa,kamsá,cams1241,,kbh,,
Kogui,kogui,cogu1240,,kog,,
Koreguaje,koreguaje,kore1283,,coe,,
Macuna,macuna,macu1260,,myy,,
Mirana,miraña,bora1263,,boa,,
Muinane,muinane,muin1242,,bmr,,
Nukak,nukak,nuka1242,,mbr,,
Ocaina,ocaina,ocai1244,,oca,,
Orejon,orejón,orej1242,,ore,,
Piapoco,piapoco,piap1246,,pio,,
Piratapuyo,piratapuyo,pira1254,,pir,,
Playero,playero,play1240,,gob,,
Puinave,puinave,puin1248,,pui,,
Paez,páez,paez1247,,pbb,,
Resigaro,resígaro,resi1247,,rgr,,
Secoya,secoya,seco1241,,sey,,
Siona,siona,sion1247,,snn,,
Siriano,siriano,siri1274,,sri,,
Saliba,sáliba,sali1298,,slc,,
Tanimuca,tanimuca,tani1257,,tnc,,
Tariano,tariano,tari1256,,tae,,
Tatuyo,tatuyo,tatu1247,,tav,,
Totoro,totoró,toto1306,,ttk,,
TsafiquiPila,tsafiqui pila,colo1256,,cof,,
Tucano,tucano,tuca1252,,tuo,,
TuneboCentral,tunebo central,cent2150,,tuf,,
Tuyuca,tuyuca,tuyu1244,,tue,,
Waimaja,waimaja,waim1255,,bao,,
Wanano,wanano,guan1269,,gvc,,
Wayuu,wayuu,wayu1243,,guc,,
WitotoMinica,witoto mi̵ni̵ca,mini1256,,hto,,
WitotoMurui,witoto murui,muru1274,,huu,,
WitotoNipode,witoto ni̵pode,nupo1240,,hux,,
Wounaan,wounaan,woun1238,,noa,,
Yucuna,yucuna,yucu1253,,ycn,,
Yukpa,yukpa,yukp1241,,yup,,
Yuruti,yurutí,yuru1263,,yui,,
